Filename,ID,Theme,Distance,Source,link
13_HFAI_Final.mov,13,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079964094?h=71b68170c6
13_HFH_Final.mov,13,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079964207?h=43110d34e5
13_HNAI_Final.mov,13,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079964359?h=4360af92c2
13_HNH_Final.mov,13,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079964432?h=7c350295fe
14_HFAI_Final.mov,14,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079964574?h=0377bade5c
14_HFH_Final.mov,14,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079964679?h=4f7df07303
14_HNAI_Final.mov,14,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079964745?h=576c6543e5
14_HNH_Final.mov,14,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079964856?h=3f93478d68
15_HFAI_Final.mov,15,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079964942?h=7f998500b5
15_HFH_Final.mov,15,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079965059?h=3165b41ed0
15_HNAI_Final.mov,15,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079965163?h=9da814b025
15_HNH_Final.mov,15,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079965260?h=2de8c2ff8a
16_HFAI_Final.mov,16,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079965366?h=ffd9c84bab
16_HFH_Final.mov,16,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079965471?h=03ac14d141
16_HNAI_Final.mov,16,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079965568?h=c26de226c2
16_HNH_Final.mov,16,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079965636?h=a176fa323a
17_HFAI_Final.mov,17,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079965732?h=c968371eeb
17_HFH_Final.mov,17,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079965824?h=32e8368b75
17_HNAI_Final.mov,17,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079965923?h=108d43fc10
17_HNH_Final.mov,17,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079966007?h=532a2c51f6
18_HFAI_Final.mov,18,Hedonic,Far,AI-generated,https://player.vimeo.com/video/1079966099?h=b9637af679
18_HFH_Final.mov,18,Hedonic,Far,Human-created,https://player.vimeo.com/video/1079966162?h=572dbe1f27
18_HNAI_Final.mov,18,Hedonic,Near,AI-generated,https://player.vimeo.com/video/1079966276?h=9c80f1e329
18_HNH_Final.mov,18,Hedonic,Near,Human-created,https://player.vimeo.com/video/1079966352?h=cbf64856c2
19_EAI_Final.mov,19,Eudaimonic,,AI-generated,https://player.vimeo.com/video/1079966453?h=c90b7ee90b
19_EH_Final.mov,19,Eudaimonic,,Human-created,https://player.vimeo.com/video/1079966569?h=26c7dccd0f
20_EAI_Final.mov,20,Eudaimonic,,AI-generated,https://player.vimeo.com/video/1079966631?h=971a42c1a5
20_EH_Final.mov,20,Eudaimonic,,Human-created,https://player.vimeo.com/video/1079966733?h=0f835b324b
21_EAI_Final.mov,21,Eudaimonic,,AI-generated,https://player.vimeo.com/video/1079966841?h=7a418685d6
